date,period,value,field,symbol
2014-04-26,201401,0.178422,YOYLiability,sh600651
2014-04-26,201401,0.499831,liabilityToAsset,sh600651
2014-04-26,201401,1.999324,assetToEquity,sh600651
2014-04-26,201401,-0.045695,CFOToOR,sh600651
2014-04-26,201401,-3.297873,CFOToNP,sh600651
2014-04-26,201401,-0.045695,CFOToGr,sh600651
2014-04-26,201401,0.020428,YOYEquity,sh600651
2014-04-26,201401,-0.594272,YOYNI,sh600651
2014-04-26,201401,-0.666667,YOYEPSBasic,sh600651
2014-04-26,201401,-0.676353,YOYPNI,sh600651
2014-04-26,201401,0.00416,roeAvg,sh600651
2014-04-26,201401,0.013856,npMargin,sh600651
2014-04-26,201401,6699491.39,netProfit,sh600651
2014-04-26,201401,0.063806,epsTTM,sh600651
2014-04-26,201401,,MBRevenue,sh600651
2014-04-26,201401,739065311.0,totalShare,sh600651
2014-04-26,201401,739065311.0,liqaShare,sh600651
2014-04-26,201401,0.00416,dupontROE,sh600651
2014-04-26,201401,2.11562,dupontAssetStoEquity,sh600651
2014-04-26,201401,0.193216,dupontAssetTurn,sh600651
2014-04-26,201401,0.734396,dupontPnitoni,sh600651
2014-04-26,201401,0.013856,dupontNitogr,sh600651
2014-04-26,201401,0.603476,dupontTaxBurden,sh600651
2014-04-26,201401,0.193216,AssetTurnRatio,sh600651
2015-04-30,201501,1.182133,YOYLiability,sh600651
2015-04-30,201501,0.476951,liabilityToAsset,sh600651
2015-04-30,201501,1.911868,assetToEquity,sh600651
2015-04-30,201501,-0.388474,CFOToOR,sh600651
2015-04-30,201501,-6.114596,CFOToNP,sh600651
2015-04-30,201501,-0.388474,CFOToGr,sh600651
2015-04-30,201501,1.501251,YOYEquity,sh600651
2015-04-30,201501,5.552213,YOYNI,sh600651
2015-04-30,201501,5.0,YOYEPSBasic,sh600651
2015-04-30,201501,7.509501,YOYPNI,sh600651
2015-04-30,201501,0.014303,roeAvg,sh600651
2015-04-30,201501,0.063532,npMargin,sh600651
2015-04-30,201501,43896475.89,netProfit,sh600651
2015-04-30,201501,0.103099,epsTTM,sh600651
2015-04-30,201501,,MBRevenue,sh600651
