date,period,value,field,symbol
2017-04-25,201701,,YOYLiability,sh601212
2017-04-25,201701,0.699446,liabilityToAsset,sh601212
2017-04-25,201701,3.327193,assetToEquity,sh601212
2017-04-25,201701,-0.039307,CFOToOR,sh601212
2017-04-25,201701,-2.494273,CFOToNP,sh601212
2017-04-25,201701,-0.039307,CFOToGr,sh601212
2017-04-25,201701,,YOYEquity,sh601212
2017-04-25,201701,0.513713,YOYNI,sh601212
2017-04-25,201701,-0.478261,YOYEPSBasic,sh601212
2017-04-25,201701,-0.453539,YOYPNI,sh601212
2017-04-25,201701,0.002053,roeAvg,sh601212
2017-04-25,201701,0.015759,npMargin,sh601212
2017-04-25,201701,88131674.26,netProfit,sh601212
2017-04-25,201701,0.033272,epsTTM,sh601212
2017-04-25,201701,,MBRevenue,sh601212
2017-04-25,201701,6972965867.0,totalShare,sh601212
2017-04-25,201701,698000000.0,liqaShare,sh601212
2017-04-25,201701,0.002053,dupontROE,sh601212
2017-04-25,201701,4.082441,dupontAssetStoEquity,sh601212
2017-04-25,201701,0.119556,dupontAssetTurn,sh601212
2017-04-25,201701,0.266873,dupontPnitoni,sh601212
2017-04-25,201701,0.015759,dupontNitogr,sh601212
2017-04-25,201701,0.596892,dupontTaxBurden,sh601212
2017-04-25,201701,0.119556,AssetTurnRatio,sh601212
2018-04-27,201801,-0.033991,YOYLiability,sh601212
2018-04-27,201801,0.7079,liabilityToAsset,sh601212
2018-04-27,201801,3.423485,assetToEquity,sh601212
2018-04-27,201801,0.04582,CFOToOR,sh601212
2018-04-27,201801,8.198708,CFOToNP,sh601212
2018-04-27,201801,0.04582,CFOToGr,sh601212
2018-04-27,201801,-0.144365,YOYEquity,sh601212
2018-04-27,201801,-0.336214,YOYNI,sh601212
2018-04-27,201801,-0.289855,YOYEPSBasic,sh601212
2018-04-27,201801,0.45879,YOYPNI,sh601212
2018-04-27,201801,0.003354,roeAvg,sh601212
2018-04-27,201801,0.005589,npMargin,sh601212
2018-04-27,201801,58500560.9,netProfit,sh601212
2018-04-27,201801,0.03587,epsTTM,sh601212
2018-04-27,201801,,MBRevenue,sh601212
2018-04-27,201801,6972965867.0,totalShare,sh601212
2018-04-27,201801,1964675085.0,liqaShare,sh601212
2018-04-27,201801,0.003354,dupontROE,sh601212
2018-04-27,201801,4.588903,dupontAssetStoEquity,sh601212
2018-04-27,201801,0.223002,dupontAssetTurn,sh601212
2018-04-27,201801,0.586501,dupontPnitoni,sh601212
2018-04-27,201801,0.005589,dupontNitogr,sh601212
2018-04-27,201801,0.423036,dupontTaxBurden,sh601212
2018-04-27,201801,0.223002,AssetTurnRatio,sh601212
2019-04-30,201901,-0.023421,YOYLiability,sh601212
2019-04-30,201901,0.701452,liabilityToAsset,sh601212
2019-04-30,201901,3.349548,assetToEquity,sh601212
2019-04-30,201901,0.07777,CFOToOR,sh601212
2019-04-30,201901,13.08809,CFOToNP,sh601212
2019-04-30,201901,0.07777,CFOToGr,sh601212
2019-04-30,201901,0.052337,YOYEquity,sh601212
2019-04-30,201901,0.199704,YOYNI,sh601212
2019-04-30,201901,0.836735,YOYEPSBasic,sh601212
2019-04-30,201901,0.838371,YOYPNI,sh601212
2019-04-30,201901,0.006221,roeAvg,sh601212
2019-04-30,201901,0.005942,npMargin,sh601212
2019-04-30,201901,70183329.38,netProfit,sh601212
2019-04-30,201901,0.00784,epsTTM,sh601212
2019-04-30,201901,,MBRevenue,sh601212
2019-04-30,201901,6972965867.0,totalShare,sh601212
2019-04-30,201901,1964675085.0,liqaShare,sh601212
2019-04-30,201901,0.006221,dupontROE,sh601212
2019-04-30,201901,4.532695,dupontAssetStoEquity,sh601212
2019-04-30,201901,0.257005,dupontAssetTurn,sh601212
2019-04-30,201901,0.898728,dupontPnitoni,sh601212
2019-04-30,201901,0.005942,dupontNitogr,sh601212
2019-04-30,201901,0.604741,dupontTaxBurden,sh601212
2019-04-30,201901,0.257005,AssetTurnRatio,sh601212
2020-04-30,202001,-0.079692,YOYLiability,sh601212
2020-04-30,202001,0.686052,liabilityToAsset,sh601212
2020-04-30,202001,3.185243,assetToEquity,sh601212
2020-04-30,202001,0.066152,CFOToOR,sh601212
2020-04-30,202001,,CFOToNP,sh601212
2020-04-30,202001,0.066152,CFOToGr,sh601212
2020-04-30,202001,0.048082,YOYEquity,sh601212
2020-04-30,202001,-1.981944,YOYNI,sh601212
2020-04-30,202001,-2.090909,YOYEPSBasic,sh601212
2020-04-30,202001,-2.167617,YOYPNI,sh601212
2020-04-30,202001,-0.028495,roeAvg,sh601212
2020-04-30,202001,-0.038748,npMargin,sh601212
2020-04-30,202001,-375781281.82,netProfit,sh601212
2020-04-30,202001,-0.08216,epsTTM,sh601212
2020-04-30,202001,,MBRevenue,sh601212
2020-04-30,202001,7404774511.0,totalShare,sh601212
2020-04-30,202001,6972965867.0,liqaShare,sh601212
2020-04-30,202001,-0.028495,dupontROE,sh601212
2020-04-30,202001,3.653021,dupontAssetStoEquity,sh601212
2020-04-30,202001,0.210737,dupontAssetTurn,sh601212
2020-04-30,202001,0.955278,dupontPnitoni,sh601212
2020-04-30,202001,-0.038748,dupontNitogr,sh601212
2020-04-30,202001,1.040397,dupontTaxBurden,sh601212
2020-04-30,202001,0.210737,AssetTurnRatio,sh601212
2021-04-30,202101,0.020913,YOYLiability,sh601212
2021-04-30,202101,0.634398,liabilityToAsset,sh601212
2021-04-30,202101,2.735218,assetToEquity,sh601212
2021-04-30,202101,-0.04286,CFOToOR,sh601212
