date,period,value,field,symbol
2018-04-26,201801,,YOYLiability,sh601838
2018-04-26,201801,0.937247,liabilityToAsset,sh601838
2018-04-26,201801,15.935495,assetToEquity,sh601838
2018-04-26,201801,-9.663965,CFOToOR,sh601838
2018-04-26,201801,-24.073771,CFOToNP,sh601838
2018-04-26,201801,-9.663965,CFOToGr,sh601838
2018-04-26,201801,,YOYEquity,sh601838
2018-04-26,201801,0.202575,YOYNI,sh601838
2018-04-26,201801,0.153846,YOYEPSBasic,sh601838
2018-04-26,201801,0.204494,YOYPNI,sh601838
2018-04-26,201801,0.038642,roeAvg,sh601838
2018-04-26,201801,0.401431,npMargin,sh601838
2018-04-26,201801,1031265000.0,netProfit,sh601838
2018-04-26,201801,1.13052,epsTTM,sh601838
2018-04-26,201801,,MBRevenue,sh601838
2018-04-26,201801,3612251334.0,totalShare,sh601838
2018-04-26,201801,361225134.0,liqaShare,sh601838
2018-04-26,201801,0.038642,dupontROE,sh601838
2018-04-26,201801,16.648287,dupontAssetStoEquity,sh601838
2018-04-26,201801,0.00578,dupontAssetTurn,sh601838
2018-04-26,201801,1.000353,dupontPnitoni,sh601838
2018-04-26,201801,0.401431,dupontNitogr,sh601838
2018-04-26,201801,0.942313,dupontTaxBurden,sh601838
2018-04-26,201801,0.00578,AssetTurnRatio,sh601838
2019-04-25,201901,0.118397,YOYLiability,sh601838
2019-04-25,201901,0.93594,liabilityToAsset,sh601838
2019-04-25,201901,15.610304,assetToEquity,sh601838
2019-04-25,201901,1.064313,CFOToOR,sh601838
2019-04-25,201901,2.521044,CFOToNP,sh601838
2019-04-25,201901,1.064313,CFOToGr,sh601838
2019-04-25,201901,0.143445,YOYEquity,sh601838
2019-04-25,201901,0.229282,YOYNI,sh601838
2019-04-25,201901,0.166667,YOYEPSBasic,sh601838
2019-04-25,201901,0.227763,YOYPNI,sh601838
2019-04-25,201901,0.039754,roeAvg,sh601838
2019-04-25,201901,0.422171,npMargin,sh601838
2019-04-25,201901,1267716000.0,netProfit,sh601838
2019-04-25,201901,1.352092,epsTTM,sh601838
2019-04-25,201901,,MBRevenue,sh601838
2019-04-25,201901,3612251334.0,totalShare,sh601838
2019-04-25,201901,1866472868.0,liqaShare,sh601838
2019-04-25,201901,0.039754,dupontROE,sh601838
2019-04-25,201901,15.711774,dupontAssetStoEquity,sh601838
2019-04-25,201901,,dupontAssetTurn,sh601838
2019-04-25,201901,0.999117,dupontPnitoni,sh601838
2019-04-25,201901,0.422171,dupontNitogr,sh601838
2019-04-25,201901,0.894729,dupontTaxBurden,sh601838
2019-04-25,201901,,AssetTurnRatio,sh601838
2020-04-29,202001,0.125057,YOYLiability,sh601838
2020-04-29,202001,0.935117,liabilityToAsset,sh601838
2020-04-29,202001,15.412393,assetToEquity,sh601838
2020-04-29,202001,-0.490022,CFOToOR,sh601838
2020-04-29,202001,-1.187896,CFOToNP,sh601838
2020-04-29,202001,-0.490022,CFOToGr,sh601838
2020-04-29,202001,0.14079,YOYEquity,sh601838
2020-04-29,202001,0.115227,YOYNI,sh601838
2020-04-29,202001,0.114286,YOYEPSBasic,sh601838
2020-04-29,202001,0.116,YOYPNI,sh601838
2020-04-29,202001,0.038913,roeAvg,sh601838
2020-04-29,202001,0.412512,npMargin,sh601838
2020-04-29,202001,1413791000.0,netProfit,sh601838
2020-04-29,202001,1.577361,epsTTM,sh601838
2020-04-29,202001,,MBRevenue,sh601838
2020-04-29,202001,3612251334.0,totalShare,sh601838
2020-04-29,202001,1894202768.0,liqaShare,sh601838
2020-04-29,202001,0.038913,dupontROE,sh601838
2020-04-29,202001,15.573243,dupontAssetStoEquity,sh601838
2020-04-29,202001,,dupontAssetTurn,sh601838
2020-04-29,202001,0.999809,dupontPnitoni,sh601838
2020-04-29,202001,0.412512,dupontNitogr,sh601838
2020-04-29,202001,0.913092,dupontTaxBurden,sh601838
