date,period,value,field,symbol
2014-04-23,201401,-0.059853,YOYLiability,sh600422
2014-04-23,201401,0.377737,liabilityToAsset,sh600422
2014-04-23,201401,1.607038,assetToEquity,sh600422
2014-04-23,201401,0.001917,CFOToOR,sh600422
2014-04-23,201401,0.031908,CFOToNP,sh600422
2014-04-23,201401,0.001917,CFOToGr,sh600422
2014-04-23,201401,0.847163,YOYEquity,sh600422
2014-04-23,201401,0.29357,YOYNI,sh600422
2014-04-23,201401,0.154971,YOYEPSBasic,sh600422
2014-04-23,201401,0.25466,YOYPNI,sh600422
2014-04-23,201401,0.030202,roeAvg,sh600422
2014-04-23,201401,0.060085,npMargin,sh600422
2014-04-23,201401,58105600.86,netProfit,sh600422
2014-04-23,201401,0.711063,epsTTM,sh600422
2014-04-23,201401,,MBRevenue,sh600422
2014-04-23,201401,341130177.0,totalShare,sh600422
2014-04-23,201401,340571115.0,liqaShare,sh600422
2014-04-23,201401,0.030202,dupontROE,sh600422
2014-04-23,201401,1.680482,dupontAssetStoEquity,sh600422
2014-04-23,201401,0.322401,dupontAssetTurn,sh600422
2014-04-23,201401,0.927763,dupontPnitoni,sh600422
2014-04-23,201401,0.060085,dupontNitogr,sh600422
2014-04-23,201401,0.819934,dupontTaxBurden,sh600422
2014-04-23,201401,0.322401,AssetTurnRatio,sh600422
2015-04-20,201501,-0.093159,YOYLiability,sh600422
2015-04-20,201501,0.331673,liabilityToAsset,sh600422
2015-04-20,201501,1.496273,assetToEquity,sh600422
2015-04-20,201501,0.051314,CFOToOR,sh600422
2015-04-20,201501,0.646297,CFOToNP,sh600422
2015-04-20,201501,0.051314,CFOToGr,sh600422
2015-04-20,201501,0.071571,YOYEquity,sh600422
2015-04-20,201501,0.332819,YOYNI,sh600422
2015-04-20,201501,0.4,YOYEPSBasic,sh600422
2015-04-20,201501,0.400006,YOYPNI,sh600422
2015-04-20,201501,0.039046,roeAvg,sh600422
2015-04-20,201501,0.079397,npMargin,sh600422
2015-04-20,201501,77444244.74,netProfit,sh600422
2015-04-20,201501,0.919886,epsTTM,sh600422
2015-04-20,201501,,MBRevenue,sh600422
2015-04-20,201501,341130177.0,totalShare,sh600422
2015-04-20,201501,340355921.0,liqaShare,sh600422
2015-04-20,201501,0.039046,dupontROE,sh600422
2015-04-20,201501,1.613998,dupontAssetStoEquity,sh600422
2015-04-20,201501,0.312659,dupontAssetTurn,sh600422
2015-04-20,201501,0.974531,dupontPnitoni,sh600422
2015-04-20,201501,0.079397,dupontNitogr,sh600422
2015-04-20,201501,0.876449,dupontTaxBurden,sh600422
2015-04-20,201501,0.312659,AssetTurnRatio,sh600422
2016-04-29,201601,0.610793,YOYLiability,sh600422
2016-04-29,201601,0.334208,liabilityToAsset,sh600422
2016-04-29,201601,1.501971,assetToEquity,sh600422
2016-04-29,201601,0.052351,CFOToOR,sh600422
2016-04-29,201601,0.697872,CFOToNP,sh600422
2016-04-29,201601,0.052351,CFOToGr,sh600422
2016-04-29,201601,0.749876,YOYEquity,sh600422
2016-04-29,201601,0.122696,YOYNI,sh600422
2016-04-29,201601,0.160858,YOYEPSBasic,sh600422
2016-04-29,201601,0.161138,YOYPNI,sh600422
2016-04-29,201601,0.025451,roeAvg,sh600422
2016-04-29,201601,0.075015,npMargin,sh600422
2016-04-29,201601,85938778.49,netProfit,sh600422
2016-04-29,201601,1.097263,epsTTM,sh600422
2016-04-29,201601,,MBRevenue,sh600422
2016-04-29,201601,394344310.0,totalShare,sh600422
2016-04-29,201601,340451577.0,liqaShare,sh600422
2016-04-29,201601,0.025451,dupontROE,sh600422
2016-04-29,201601,1.503631,dupontAssetStoEquity,sh600422
2016-04-29,201601,0.227121,dupontAssetTurn,sh600422
2016-04-29,201601,0.993498,dupontPnitoni,sh600422
2016-04-29,201601,0.075015,dupontNitogr,sh600422
2016-04-29,201601,0.836928,dupontTaxBurden,sh600422
2016-04-29,201601,0.227121,AssetTurnRatio,sh600422
2017-04-28,201701,0.009007,YOYLiability,sh600422
2017-04-28,201701,0.318549,liabilityToAsset,sh600422
2017-04-28,201701,1.467458,assetToEquity,sh600422
2017-04-28,201701,-0.05971,CFOToOR,sh600422
2017-04-28,201701,-0.763983,CFOToNP,sh600422
2017-04-28,201701,-0.05971,CFOToGr,sh600422
2017-04-28,201701,0.075152,YOYEquity,sh600422
2017-04-28,201701,0.105109,YOYNI,sh600422
2017-04-28,201701,0.105263,YOYEPSBasic,sh600422
2017-04-28,201701,0.106136,YOYPNI,sh600422
2017-04-28,201701,0.026196,roeAvg,sh600422
2017-04-28,201701,0.078157,npMargin,sh600422
