date,period,value,field,symbol
2019-05-07,201801,,YOYLiability,sh603697
2019-05-07,201801,,liabilityToAsset,sh603697
2019-05-07,201801,,assetToEquity,sh603697
2019-05-07,201801,21.269949,CFOToOR,sh603697
2019-05-07,201801,130.025334,CFOToNP,sh603697
2019-05-07,201801,21.269949,CFOToGr,sh603697
2019-05-07,201801,,YOYEquity,sh603697
2019-05-07,201801,,YOYNI,sh603697
2019-05-07,201801,,YOYEPSBasic,sh603697
2019-05-07,201801,,YOYPNI,sh603697
2019-05-07,201801,,roeAvg,sh603697
2019-05-07,201801,0.163583,npMargin,sh603697
2019-05-07,201801,45189339.99,netProfit,sh603697
2019-05-07,201801,0.845807,epsTTM,sh603697
2019-05-07,201801,,MBRevenue,sh603697
2019-05-07,201801,225045000.0,totalShare,sh603697
2019-05-07,201801,63800440.0,liqaShare,sh603697
2019-05-07,201801,,dupontROE,sh603697
2019-05-07,201801,,dupontAssetStoEquity,sh603697
2019-05-07,201801,,dupontAssetTurn,sh603697
2019-05-07,201801,100.0,dupontPnitoni,sh603697
2019-05-07,201801,16.358312,dupontNitogr,sh603697
2019-05-07,201801,84.496422,dupontTaxBurden,sh603697
2019-05-07,201801,,AssetTurnRatio,sh603697
2019-05-07,201901,,YOYLiability,sh603697
2019-05-07,201901,0.123079,liabilityToAsset,sh603697
2019-05-07,201901,1.140354,assetToEquity,sh603697
2019-05-07,201901,0.274719,CFOToOR,sh603697
2019-05-07,201901,1.44351,CFOToNP,sh603697
2019-05-07,201901,0.274719,CFOToGr,sh603697
2019-05-07,201901,,YOYEquity,sh603697
2019-05-07,201901,0.005255,YOYNI,sh603697
2019-05-07,201901,0.0,YOYEPSBasic,sh603697
2019-05-07,201901,0.005255,YOYPNI,sh603697
2019-05-07,201901,0.050304,roeAvg,sh603697
2019-05-07,201901,0.190313,npMargin,sh603697
2019-05-07,201901,45426801.13,netProfit,sh603697
2019-05-07,201901,0.792898,epsTTM,sh603697
2019-05-07,201901,,MBRevenue,sh603697
2019-05-07,201901,225045000.0,totalShare,sh603697
2019-05-07,201901,63800440.0,liqaShare,sh603697
2019-05-07,201901,0.050304,dupontROE,sh603697
2019-05-07,201901,1.149733,dupontAssetStoEquity,sh603697
2019-05-07,201901,0.229898,dupontAssetTurn,sh603697
2019-05-07,201901,1.0,dupontPnitoni,sh603697
2019-05-07,201901,0.190313,dupontNitogr,sh603697
2019-05-07,201901,0.852217,dupontTaxBurden,sh603697
2019-05-07,201901,0.229898,AssetTurnRatio,sh603697
2020-04-29,202001,0.916372,YOYLiability,sh603697
2020-04-29,202001,0.134176,liabilityToAsset,sh603697
2020-04-29,202001,1.154969,assetToEquity,sh603697
2020-04-29,202001,0.45894,CFOToOR,sh603697
2020-04-29,202001,2.345,CFOToNP,sh603697
2020-04-29,202001,0.45894,CFOToGr,sh603697
2020-04-29,202001,0.73564,YOYEquity,sh603697
2020-04-29,202001,-0.095346,YOYNI,sh603697
2020-04-29,202001,-0.35,YOYEPSBasic,sh603697
2020-04-29,202001,-0.095346,YOYPNI,sh603697
2020-04-29,202001,0.025908,roeAvg,sh603697
2020-04-29,202001,0.19571,npMargin,sh603697
2020-04-29,202001,41095534.99,netProfit,sh603697
2020-04-29,202001,0.573711,epsTTM,sh603697
2020-04-29,202001,,MBRevenue,sh603697
2020-04-29,202001,304545000.0,totalShare,sh603697
2020-04-29,202001,79500000.0,liqaShare,sh603697
2020-04-29,202001,0.025908,dupontROE,sh603697
