date,period,value,field,symbol
2022-07-11,202101,,YOYLiability,sh603255
2022-07-11,202101,,liabilityToAsset,sh603255
2022-07-11,202101,,assetToEquity,sh603255
2022-07-11,202101,0.149212,CFOToOR,sh603255
2022-07-11,202101,0.796183,CFOToNP,sh603255
2022-07-11,202101,0.149212,CFOToGr,sh603255
2022-07-11,202101,,YOYEquity,sh603255
2022-07-11,202101,,YOYNI,sh603255
2022-07-11,202101,,YOYEPSBasic,sh603255
2022-07-11,202101,,YOYPNI,sh603255
2022-07-11,202101,,roeAvg,sh603255
2022-07-11,202101,0.187409,npMargin,sh603255
2022-07-11,202101,33149157.37,netProfit,sh603255
2022-07-11,202101,,epsTTM,sh603255
2022-07-11,202101,,MBRevenue,sh603255
2022-07-11,202101,,totalShare,sh603255
2022-07-11,202101,0.0,liqaShare,sh603255
2022-07-11,202101,,dupontROE,sh603255
2022-07-11,202101,,dupontAssetStoEquity,sh603255
2022-07-11,202101,0.180511,dupontAssetTurn,sh603255
2022-07-11,202101,1.0,dupontPnitoni,sh603255
2022-07-11,202101,0.187409,dupontNitogr,sh603255
2022-07-11,202101,0.846608,dupontTaxBurden,sh603255
2022-07-11,202101,0.180511,AssetTurnRatio,sh603255
2022-07-11,202201,,YOYLiability,sh603255
2022-07-11,202201,0.358394,liabilityToAsset,sh603255
2022-07-11,202201,1.558588,assetToEquity,sh603255
2022-07-11,202201,0.138928,CFOToOR,sh603255
2022-07-11,202201,0.814215,CFOToNP,sh603255
2022-07-11,202201,0.138928,CFOToGr,sh603255
2022-07-11,202201,,YOYEquity,sh603255
2022-07-11,202201,0.121738,YOYNI,sh603255
2022-07-11,202201,0.121212,YOYEPSBasic,sh603255
2022-07-11,202201,0.121738,YOYPNI,sh603255
2022-07-11,202201,0.049167,roeAvg,sh603255
2022-07-11,202201,0.170628,npMargin,sh603255
2022-07-11,202201,37184671.88,netProfit,sh603255
2022-07-11,202201,1.354214,epsTTM,sh603255
2022-07-11,202201,,MBRevenue,sh603255
2022-07-11,202201,100100000.0,totalShare,sh603255
2022-07-11,202201,,liqaShare,sh603255
2022-07-11,202201,0.049167,dupontROE,sh603255
2022-07-11,202201,1.574061,dupontAssetStoEquity,sh603255
2022-07-11,202201,0.183062,dupontAssetTurn,sh603255
2022-07-11,202201,1.0,dupontPnitoni,sh603255
2022-07-11,202201,0.170628,dupontNitogr,sh603255
2022-07-11,202201,0.868526,dupontTaxBurden,sh603255
2022-07-11,202201,0.183062,AssetTurnRatio,sh603255
2021-12-24,202102,,YOYLiability,sh603255
2021-12-24,202102,0.390426,liabilityToAsset,sh603255
2021-12-24,202102,1.640489,assetToEquity,sh603255
2021-12-24,202102,0.185899,CFOToOR,sh603255
2021-12-24,202102,1.055079,CFOToNP,sh603255
2021-12-24,202102,0.185899,CFOToGr,sh603255
2021-12-24,202102,,YOYEquity,sh603255
2021-12-24,202102,,YOYNI,sh603255
2021-12-24,202102,,YOYEPSBasic,sh603255
2021-12-24,202102,,YOYPNI,sh603255
2021-12-24,202102,0.092064,roeAvg,sh603255
2021-12-24,202102,0.176194,npMargin,sh603255
2021-12-24,202102,57894312.52,netProfit,sh603255
2021-12-24,202102,,epsTTM,sh603255
2021-12-24,202102,,MBRevenue,sh603255
2021-12-24,202102,,totalShare,sh603255
2021-12-24,202102,0.0,liqaShare,sh603255
2021-12-24,202102,0.092064,dupontROE,sh603255
2021-12-24,202102,1.640421,dupontAssetStoEquity,sh603255
2021-12-24,202102,0.318524,dupontAssetTurn,sh603255
2021-12-24,202102,1.0,dupontPnitoni,sh603255
2021-12-24,202102,0.176194,dupontNitogr,sh603255
2021-12-24,202102,0.85877,dupontTaxBurden,sh603255
2021-12-24,202102,0.318524,AssetTurnRatio,sh603255
2022-08-17,202202,0.114063,YOYLiability,sh603255
2022-08-17,202202,0.369245,liabilityToAsset,sh603255
2022-08-17,202202,1.585401,assetToEquity,sh603255
2022-08-17,202202,0.038938,CFOToOR,sh603255
2022-08-17,202202,0.253832,CFOToNP,sh603255
2022-08-17,202202,0.038938,CFOToGr,sh603255
2022-08-17,202202,0.2189,YOYEquity,sh603255
2022-08-17,202202,0.15285,YOYNI,sh603255
2022-08-17,202202,0.155172,YOYEPSBasic,sh603255
2022-08-17,202202,0.15285,YOYPNI,sh603255
2022-08-17,202202,0.086567,roeAvg,sh603255
2022-08-17,202202,0.153402,npMargin,sh603255
2022-08-17,202202,66743456.2,netProfit,sh603255
2022-08-17,202202,1.402302,epsTTM,sh603255
2022-08-17,202202,,MBRevenue,sh603255
2022-08-17,202202,100100000.0,totalShare,sh603255
2022-08-17,202202,,liqaShare,sh603255
2022-08-17,202202,0.086567,dupontROE,sh603255
2022-08-17,202202,1.587762,dupontAssetStoEquity,sh603255
2022-08-17,202202,0.355413,dupontAssetTurn,sh603255
2022-08-17,202202,1.0,dupontPnitoni,sh603255
2022-08-17,202202,0.153402,dupontNitogr,sh603255
2022-08-17,202202,0.869843,dupontTaxBurden,sh603255
2022-08-17,202202,0.355413,AssetTurnRatio,sh603255
2022-10-28,202103,,YOYLiability,sh603255
2022-10-28,202103,,liabilityToAsset,sh603255
2022-10-28,202103,,assetToEquity,sh603255
2022-10-28,202103,0.169866,CFOToOR,sh603255
2022-10-28,202103,1.051514,CFOToNP,sh603255
2022-10-28,202103,0.169866,CFOToGr,sh603255
2022-10-28,202103,,YOYEquity,sh603255
2022-10-28,202103,,YOYNI,sh603255
2022-10-28,202103,,YOYEPSBasic,sh603255
2022-10-28,202103,,YOYPNI,sh603255
2022-10-28,202103,,roeAvg,sh603255
2022-10-28,202103,0.161544,npMargin,sh603255
2022-10-28,202103,84326148.35,netProfit,sh603255
2022-10-28,202103,1.029704,epsTTM,sh603255
2022-10-28,202103,,MBRevenue,sh603255
2022-10-28,202103,100100000.0,totalShare,sh603255
2022-10-28,202103,,liqaShare,sh603255
2022-10-28,202103,,dupontROE,sh603255
2022-10-28,202103,,dupontAssetStoEquity,sh603255
2022-10-28,202103,0.532715,dupontAssetTurn,sh603255
2022-10-28,202103,1.0,dupontPnitoni,sh603255
