date,period,value,field,symbol
2014-04-29,201401,-0.14853,YOYLiability,sh600078
2014-04-29,201401,0.612084,liabilityToAsset,sh600078
2014-04-29,201401,2.577875,assetToEquity,sh600078
2014-04-29,201401,0.203721,CFOToOR,sh600078
2014-04-29,201401,11.13791,CFOToNP,sh600078
2014-04-29,201401,0.203721,CFOToGr,sh600078
2014-04-29,201401,-0.004055,YOYEquity,sh600078
2014-04-29,201401,-0.690338,YOYNI,sh600078
2014-04-29,201401,-0.676275,YOYEPSBasic,sh600078
2014-04-29,201401,-0.675838,YOYPNI,sh600078
2014-04-29,201401,0.005503,roeAvg,sh600078
2014-04-29,201401,0.018291,npMargin,sh600078
2014-04-29,201401,10589222.24,netProfit,sh600078
2014-04-29,201401,0.00518,epsTTM,sh600078
2014-04-29,201401,,MBRevenue,sh600078
2014-04-29,201401,662572861.0,totalShare,sh600078
2014-04-29,201401,662572861.0,liqaShare,sh600078
2014-04-29,201401,0.005503,dupontROE,sh600078
2014-04-29,201401,2.786463,dupontAssetStoEquity,sh600078
2014-04-29,201401,0.118055,dupontAssetTurn,sh600078
2014-04-29,201401,0.914607,dupontPnitoni,sh600078
2014-04-29,201401,0.018291,dupontNitogr,sh600078
2014-04-29,201401,0.729693,dupontTaxBurden,sh600078
2014-04-29,201401,0.118055,AssetTurnRatio,sh600078
2015-04-28,201501,0.311133,YOYLiability,sh600078
2015-04-28,201501,0.668625,liabilityToAsset,sh600078
2015-04-28,201501,3.017728,assetToEquity,sh600078
2015-04-28,201501,0.126648,CFOToOR,sh600078
2015-04-28,201501,6.013731,CFOToNP,sh600078
2015-04-28,201501,0.126648,CFOToGr,sh600078
2015-04-28,201501,0.010171,YOYEquity,sh600078
2015-04-28,201501,0.228215,YOYNI,sh600078
2015-04-28,201501,-0.219178,YOYEPSBasic,sh600078
2015-04-28,201501,-0.217006,YOYPNI,sh600078
2015-04-28,201501,0.004263,roeAvg,sh600078
2015-04-28,201501,0.02106,npMargin,sh600078
2015-04-28,201501,13005839.45,netProfit,sh600078
2015-04-28,201501,0.030407,epsTTM,sh600078
2015-04-28,201501,,MBRevenue,sh600078
2015-04-28,201501,662572861.0,totalShare,sh600078
2015-04-28,201501,662572861.0,liqaShare,sh600078
2015-04-28,201501,0.004263,dupontROE,sh600078
2015-04-28,201501,3.101039,dupontAssetStoEquity,sh600078
2015-04-28,201501,0.111951,dupontAssetTurn,sh600078
2015-04-28,201501,0.583068,dupontPnitoni,sh600078
2015-04-28,201501,0.02106,dupontNitogr,sh600078
2015-04-28,201501,0.853072,dupontTaxBurden,sh600078
2015-04-28,201501,0.111951,AssetTurnRatio,sh600078
2016-04-29,201601,0.12665,YOYLiability,sh600078
2016-04-29,201601,0.691278,liabilityToAsset,sh600078
2016-04-29,201601,3.239159,assetToEquity,sh600078
2016-04-29,201601,0.03519,CFOToOR,sh600078
2016-04-29,201601,1.926848,CFOToNP,sh600078
2016-04-29,201601,0.03519,CFOToGr,sh600078
2016-04-29,201601,0.007854,YOYEquity,sh600078
2016-04-29,201601,-0.144246,YOYNI,sh600078
2016-04-29,201601,0.482456,YOYEPSBasic,sh600078
2016-04-29,201601,0.472739,YOYPNI,sh600078
2016-04-29,201601,0.006235,roeAvg,sh600078
2016-04-29,201601,0.018263,npMargin,sh600078
2016-04-29,201601,11129802.6,netProfit,sh600078
2016-04-29,201601,0.032473,epsTTM,sh600078
2016-04-29,201601,,MBRevenue,sh600078
2016-04-29,201601,662572861.0,totalShare,sh600078
2016-04-29,201601,662572861.0,liqaShare,sh600078
2016-04-29,201601,0.006235,dupontROE,sh600078
2016-04-29,201601,3.581131,dupontAssetStoEquity,sh600078
2016-04-29,201601,0.095011,dupontAssetTurn,sh600078
2016-04-29,201601,1.00345,dupontPnitoni,sh600078
2016-04-29,201601,0.018263,dupontNitogr,sh600078
2016-04-29,201601,0.726592,dupontTaxBurden,sh600078
2016-04-29,201601,0.095011,AssetTurnRatio,sh600078
2017-04-27,201701,0.147448,YOYLiability,sh600078
2017-04-27,201701,0.713018,liabilityToAsset,sh600078
2017-04-27,201701,3.484536,assetToEquity,sh600078
2017-04-27,201701,0.228287,CFOToOR,sh600078
2017-04-27,201701,9.964804,CFOToNP,sh600078
2017-04-27,201701,0.228287,CFOToGr,sh600078
2017-04-27,201701,0.028516,YOYEquity,sh600078
2017-04-27,201701,0.508204,YOYNI,sh600078
2017-04-27,201701,0.035503,YOYEPSBasic,sh600078
2017-04-27,201701,0.039343,YOYPNI,sh600078
2017-04-27,201701,0.006301,roeAvg,sh600078
2017-04-27,201701,0.022909,npMargin,sh600078
2017-04-27,201701,16786010.95,netProfit,sh600078
2017-04-27,201701,0.091326,epsTTM,sh600078
2017-04-27,201701,,MBRevenue,sh600078
2017-04-27,201701,662572861.0,totalShare,sh600078
2017-04-27,201701,662572861.0,liqaShare,sh600078
2017-04-27,201701,0.006301,dupontROE,sh600078
2017-04-27,201701,3.915995,dupontAssetStoEquity,sh600078
2017-04-27,201701,0.101572,dupontAssetTurn,sh600078
2017-04-27,201701,0.691504,dupontPnitoni,sh600078
2017-04-27,201701,0.022909,dupontNitogr,sh600078
2017-04-27,201701,0.771753,dupontTaxBurden,sh600078
2017-04-27,201701,0.101572,AssetTurnRatio,sh600078
2018-04-28,201801,0.024586,YOYLiability,sh600078
2018-04-28,201801,0.711821,liabilityToAsset,sh600078
2018-04-28,201801,3.47007,assetToEquity,sh600078
2018-04-28,201801,0.140148,CFOToOR,sh600078
2018-04-28,201801,8.902024,CFOToNP,sh600078
2018-04-28,201801,0.140148,CFOToGr,sh600078
2018-04-28,201801,0.017558,YOYEquity,sh600078
2018-04-28,201801,-0.383223,YOYNI,sh600078
2018-04-28,201801,-0.771429,YOYEPSBasic,sh600078
