date,period,value,field,symbol
2015-04-29,201501,-0.068922,YOYLiability,sh603609
2015-04-29,201501,0.353627,liabilityToAsset,sh603609
2015-04-29,201501,1.547094,assetToEquity,sh603609
2015-04-29,201501,-0.213762,CFOToOR,sh603609
2015-04-29,201501,-8.455939,CFOToNP,sh603609
2015-04-29,201501,-0.213762,CFOToGr,sh603609
2015-04-29,201501,0.408332,YOYEquity,sh603609
2015-04-29,201501,1.324942,YOYNI,sh603609
2015-04-29,201501,1.25,YOYEPSBasic,sh603609
2015-04-29,201501,1.542355,YOYPNI,sh603609
2015-04-29,201501,0.020334,roeAvg,sh603609
2015-04-29,201501,0.02528,npMargin,sh603609
2015-04-29,201501,49890469.21,netProfit,sh603609
2015-04-29,201501,0.502235,epsTTM,sh603609
2015-04-29,201501,,MBRevenue,sh603609
2015-04-29,201501,554117646.0,totalShare,sh603609
2015-04-29,201501,80000000.0,liqaShare,sh603609
2015-04-29,201501,0.020334,dupontROE,sh603609
2015-04-29,201501,1.623447,dupontAssetStoEquity,sh603609
2015-04-29,201501,0.507153,dupontAssetTurn,sh603609
2015-04-29,201501,0.976949,dupontPnitoni,sh603609
2015-04-29,201501,0.02528,dupontNitogr,sh603609
2015-04-29,201501,0.822753,dupontTaxBurden,sh603609
2015-04-29,201501,0.507153,AssetTurnRatio,sh603609
2016-04-28,201601,-0.120934,YOYLiability,sh603609
2016-04-28,201601,0.299622,liabilityToAsset,sh603609
2016-04-28,201601,1.427801,assetToEquity,sh603609
2016-04-28,201601,-0.101825,CFOToOR,sh603609
2016-04-28,201601,-2.921596,CFOToNP,sh603609
2016-04-28,201601,-0.101825,CFOToGr,sh603609
2016-04-28,201601,0.127699,YOYEquity,sh603609
2016-04-28,201601,0.455137,YOYNI,sh603609
2016-04-28,201601,0.333333,YOYEPSBasic,sh603609
2016-04-28,201601,0.401568,YOYPNI,sh603609
2016-04-28,201601,0.025335,roeAvg,sh603609
2016-04-28,201601,0.034853,npMargin,sh603609
2016-04-28,201601,72597468.45,netProfit,sh603609
2016-04-28,201601,0.401543,epsTTM,sh603609
2016-04-28,201601,,MBRevenue,sh603609
2016-04-28,201601,831176469.0,totalShare,sh603609
2016-04-28,201601,418391867.0,liqaShare,sh603609
2016-04-28,201601,0.025335,dupontROE,sh603609
2016-04-28,201601,1.556579,dupontAssetStoEquity,sh603609
2016-04-28,201601,0.496278,dupontAssetTurn,sh603609
2016-04-28,201601,0.940984,dupontPnitoni,sh603609
2016-04-28,201601,0.034853,dupontNitogr,sh603609
2016-04-28,201601,0.863896,dupontTaxBurden,sh603609
2016-04-28,201601,0.496278,AssetTurnRatio,sh603609
2017-04-25,201701,0.745306,YOYLiability,sh603609
2017-04-25,201701,0.396654,liabilityToAsset,sh603609
2017-04-25,201701,1.657423,assetToEquity,sh603609
2017-04-25,201701,-0.101809,CFOToOR,sh603609
2017-04-25,201701,-3.820427,CFOToNP,sh603609
2017-04-25,201701,-0.101809,CFOToGr,sh603609
2017-04-25,201701,0.12618,YOYEquity,sh603609
2017-04-25,201701,-0.012429,YOYNI,sh603609
2017-04-25,201701,0.0,YOYEPSBasic,sh603609
2017-04-25,201701,0.030127,YOYPNI,sh603609
2017-04-25,201701,0.023143,roeAvg,sh603609
2017-04-25,201701,0.026649,npMargin,sh603609
2017-04-25,201701,71695123.49,netProfit,sh603609
2017-04-25,201701,0.51618,epsTTM,sh603609
2017-04-25,201701,,MBRevenue,sh603609
2017-04-25,201701,831176469.0,totalShare,sh603609
2017-04-25,201701,418391867.0,liqaShare,sh603609
2017-04-25,201701,0.023143,dupontROE,sh603609
2017-04-25,201701,1.778368,dupontAssetStoEquity,sh603609
2017-04-25,201701,0.497539,dupontAssetTurn,sh603609
2017-04-25,201701,0.981533,dupontPnitoni,sh603609
2017-04-25,201701,0.026649,dupontNitogr,sh603609
2017-04-25,201701,0.894477,dupontTaxBurden,sh603609
2017-04-25,201701,0.497539,AssetTurnRatio,sh603609
2018-04-25,201801,0.150422,YOYLiability,sh603609
2018-04-25,201801,0.401624,liabilityToAsset,sh603609
2018-04-25,201801,1.671191,assetToEquity,sh603609
2018-04-25,201801,-0.046283,CFOToOR,sh603609
2018-04-25,201801,-1.455297,CFOToNP,sh603609
2018-04-25,201801,-0.046283,CFOToGr,sh603609
2018-04-25,201801,0.132808,YOYEquity,sh603609
2018-04-25,201801,0.388139,YOYNI,sh603609
2018-04-25,201801,0.375,YOYEPSBasic,sh603609
2018-04-25,201801,0.304001,YOYPNI,sh603609
2018-04-25,201801,0.026699,roeAvg,sh603609
2018-04-25,201801,0.031803,npMargin,sh603609
2018-04-25,201801,99522820.64,netProfit,sh603609
2018-04-25,201801,0.592434,epsTTM,sh603609
2018-04-25,201801,,MBRevenue,sh603609
2018-04-25,201801,831176469.0,totalShare,sh603609
2018-04-25,201801,831176469.0,liqaShare,sh603609
2018-04-25,201801,0.026699,dupontROE,sh603609
2018-04-25,201801,1.803939,dupontAssetStoEquity,sh603609
2018-04-25,201801,0.50473,dupontAssetTurn,sh603609
2018-04-25,201801,0.92204,dupontPnitoni,sh603609
2018-04-25,201801,0.031803,dupontNitogr,sh603609
2018-04-25,201801,0.876634,dupontTaxBurden,sh603609
2018-04-25,201801,0.50473,AssetTurnRatio,sh603609
2019-04-29,201901,0.050326,YOYLiability,sh603609
2019-04-29,201901,0.376671,liabilityToAsset,sh603609
2019-04-29,201901,1.604289,assetToEquity,sh603609
2019-04-29,201901,0.003786,CFOToOR,sh603609
2019-04-29,201901,0.082062,CFOToNP,sh603609
2019-04-29,201901,0.003786,CFOToGr,sh603609
2019-04-29,201901,0.149942,YOYEquity,sh603609
2019-04-29,201901,0.628028,YOYNI,sh603609
2019-04-29,201901,0.545455,YOYEPSBasic,sh603609
2019-04-29,201901,0.536549,YOYPNI,sh603609
2019-04-29,201901,0.035888,roeAvg,sh603609
2019-04-29,201901,0.046134,npMargin,sh603609
2019-04-29,201901,162025976.14,netProfit,sh603609
2019-04-29,201901,0.710805,epsTTM,sh603609
2019-04-29,201901,,MBRevenue,sh603609
2019-04-29,201901,845751469.0,totalShare,sh603609
2019-04-29,201901,831176469.0,liqaShare,sh603609
2019-04-29,201901,0.035888,dupontROE,sh603609
2019-04-29,201901,1.796172,dupontAssetStoEquity,sh603609
2019-04-29,201901,0.497676,dupontAssetTurn,sh603609
2019-04-29,201901,0.87023,dupontPnitoni,sh603609
2019-04-29,201901,0.046134,dupontNitogr,sh603609
2019-04-29,201901,0.941015,dupontTaxBurden,sh603609
2019-04-29,201901,0.497676,AssetTurnRatio,sh603609
2020-04-28,202001,0.161818,YOYLiability,sh603609
2020-04-28,202001,0.313017,liabilityToAsset,sh603609
2020-04-28,202001,1.45564,assetToEquity,sh603609
2020-04-28,202001,-0.009048,CFOToOR,sh603609
2020-04-28,202001,-0.114456,CFOToNP,sh603609
2020-04-28,202001,-0.009048,CFOToGr,sh603609
2020-04-28,202001,0.495741,YOYEquity,sh603609
2020-04-28,202001,1.174721,YOYNI,sh603609
2020-04-28,202001,0.941176,YOYEPSBasic,sh603609
2020-04-28,202001,1.153764,YOYPNI,sh603609
2020-04-28,202001,0.051956,roeAvg,sh603609
2020-04-28,202001,0.07905,npMargin,sh603609
2020-04-28,202001,352361283.87,netProfit,sh603609
2020-04-28,202001,1.476766,epsTTM,sh603609
2020-04-28,202001,,MBRevenue,sh603609
2020-04-28,202001,922304396.0,totalShare,sh603609
2020-04-28,202001,831176469.0,liqaShare,sh603609
2020-04-28,202001,0.051956,dupontROE,sh603609
2020-04-28,202001,1.641805,dupontAssetStoEquity,sh603609
2020-04-28,202001,0.464499,dupontAssetTurn,sh603609
2020-04-28,202001,0.861844,dupontPnitoni,sh603609
2020-04-28,202001,0.07905,dupontNitogr,sh603609
2020-04-28,202001,0.90454,dupontTaxBurden,sh603609
2020-04-28,202001,0.464499,AssetTurnRatio,sh603609
2021-04-22,202101,0.468458,YOYLiability,sh603609
2021-04-22,202101,0.360908,liabilityToAsset,sh603609
