date,period,value,field,symbol
2014-04-29,201401,1.182001,YOYLiability,sh600880
2014-04-29,201401,0.215257,liabilityToAsset,sh600880
2014-04-29,201401,1.274303,assetToEquity,sh600880
2014-04-29,201401,0.253807,CFOToOR,sh600880
2014-04-29,201401,0.885146,CFOToNP,sh600880
2014-04-29,201401,0.239182,CFOToGr,sh600880
2014-04-29,201401,0.464577,YOYEquity,sh600880
2014-04-29,201401,0.070973,YOYNI,sh600880
2014-04-29,201401,-0.111111,YOYEPSBasic,sh600880
2014-04-29,201401,0.02773,YOYPNI,sh600880
2014-04-29,201401,0.026237,roeAvg,sh600880
2014-04-29,201401,0.28674,npMargin,sh600880
2014-04-29,201401,104855782.0,netProfit,sh600880
2014-04-29,201401,0.311428,epsTTM,sh600880
2014-04-29,201401,,MBRevenue,sh600880
2014-04-29,201401,1093332092.0,totalShare,sh600880
2014-04-29,201401,662513941.0,liqaShare,sh600880
2014-04-29,201401,0.026237,dupontROE,sh600880
2014-04-29,201401,1.429866,dupontAssetStoEquity,sh600880
2014-04-29,201401,0.078498,dupontAssetTurn,sh600880
2014-04-29,201401,0.865077,dupontPnitoni,sh600880
2014-04-29,201401,0.270218,dupontNitogr,sh600880
2014-04-29,201401,0.746873,dupontTaxBurden,sh600880
2014-04-29,201401,0.078498,AssetTurnRatio,sh600880
2015-04-15,201501,-0.366013,YOYLiability,sh600880
2015-04-15,201501,0.141867,liabilityToAsset,sh600880
2015-04-15,201501,1.16532,assetToEquity,sh600880
2015-04-15,201501,-0.05343,CFOToOR,sh600880
2015-04-15,201501,-0.449708,CFOToNP,sh600880
2015-04-15,201501,-0.052059,CFOToGr,sh600880
2015-04-15,201501,0.064986,YOYEquity,sh600880
2015-04-15,201501,-0.642136,YOYNI,sh600880
2015-04-15,201501,-0.625,YOYEPSBasic,sh600880
2015-04-15,201501,-0.637351,YOYPNI,sh600880
2015-04-15,201501,0.009035,roeAvg,sh600880
2015-04-15,201501,0.118811,npMargin,sh600880
2015-04-15,201501,37524141.27,netProfit,sh600880
2015-04-15,201501,0.204086,epsTTM,sh600880
2015-04-15,201501,,MBRevenue,sh600880
2015-04-15,201501,1093332092.0,totalShare,sh600880
2015-04-15,201501,733365115.0,liqaShare,sh600880
2015-04-15,201501,0.009035,dupontROE,sh600880
2015-04-15,201501,1.33213,dupontAssetStoEquity,sh600880
2015-04-15,201501,0.066832,dupontAssetTurn,sh600880
2015-04-15,201501,0.876644,dupontPnitoni,sh600880
2015-04-15,201501,0.115762,dupontNitogr,sh600880
2015-04-15,201501,0.782262,dupontTaxBurden,sh600880
2015-04-15,201501,0.066832,AssetTurnRatio,sh600880
2016-04-30,201601,-0.154772,YOYLiability,sh600880
2016-04-30,201601,0.130957,liabilityToAsset,sh600880
2016-04-30,201601,1.150692,assetToEquity,sh600880
2016-04-30,201601,0.166808,CFOToOR,sh600880
2016-04-30,201601,23.500177,CFOToNP,sh600880
2016-04-30,201601,0.160354,CFOToGr,sh600880
2016-04-30,201601,-0.017789,YOYEquity,sh600880
2016-04-30,201601,-0.957867,YOYNI,sh600880
2016-04-30,201601,-0.923588,YOYEPSBasic,sh600880
2016-04-30,201601,-0.923873,YOYPNI,sh600880
2016-04-30,201601,0.000697,roeAvg,sh600880
2016-04-30,201601,0.007098,npMargin,sh600880
2016-04-30,201601,1581008.78,netProfit,sh600880
2016-04-30,201601,0.040492,epsTTM,sh600880
2016-04-30,201601,,MBRevenue,sh600880
2016-04-30,201601,1093332092.0,totalShare,sh600880
2016-04-30,201601,733365115.0,liqaShare,sh600880
2016-04-30,201601,0.000697,dupontROE,sh600880
2016-04-30,201601,1.246168,dupontAssetStoEquity,sh600880
2016-04-30,201601,0.051775,dupontAssetTurn,sh600880
2016-04-30,201601,1.583942,dupontPnitoni,sh600880
2016-04-30,201601,0.006824,dupontNitogr,sh600880
2016-04-30,201601,0.201196,dupontTaxBurden,sh600880
2016-04-30,201601,0.051775,AssetTurnRatio,sh600880
2017-04-26,201701,-0.208994,YOYLiability,sh600880
2017-04-26,201701,0.108021,liabilityToAsset,sh600880
2017-04-26,201701,1.121102,assetToEquity,sh600880
2017-04-26,201701,-0.688846,CFOToOR,sh600880
2017-04-26,201701,,CFOToNP,sh600880
2017-04-26,201701,-0.668463,CFOToGr,sh600880
2017-04-26,201701,-0.002822,YOYEquity,sh600880
2017-04-26,201701,-12.17267,YOYNI,sh600880
2017-04-26,201701,-6.695652,YOYEPSBasic,sh600880
2017-04-26,201701,-6.713325,YOYPNI,sh600880
2017-04-26,201701,-0.003974,roeAvg,sh600880
2017-04-26,201701,-0.0941,npMargin,sh600880
2017-04-26,201701,-17664089.41,netProfit,sh600880
2017-04-26,201701,0.039626,epsTTM,sh600880
2017-04-26,201701,,MBRevenue,sh600880
2017-04-26,201701,1093332092.0,totalShare,sh600880
2017-04-26,201701,733365115.0,liqaShare,sh600880
2017-04-26,201701,-0.003974,dupontROE,sh600880
2017-04-26,201701,1.195357,dupontAssetStoEquity,sh600880
2017-04-26,201701,0.044948,dupontAssetTurn,sh600880
2017-04-26,201701,0.809974,dupontPnitoni,sh600880
2017-04-26,201701,-0.091316,dupontNitogr,sh600880
2017-04-26,201701,1.080105,dupontTaxBurden,sh600880
2017-04-26,201701,0.044948,AssetTurnRatio,sh600880
2018-04-28,201801,-0.21294,YOYLiability,sh600880
2018-04-28,201801,0.087294,liabilityToAsset,sh600880
2018-04-28,201801,1.095643,assetToEquity,sh600880
2018-04-28,201801,-0.389425,CFOToOR,sh600880
2018-04-28,201801,-7.050592,CFOToNP,sh600880
2018-04-28,201801,-0.371874,CFOToGr,sh600880
2018-04-28,201801,0.01947,YOYEquity,sh600880
2018-04-28,201801,1.527144,YOYNI,sh600880
2018-04-28,201801,2.0,YOYEPSBasic,sh600880
2018-04-28,201801,1.73146,YOYPNI,sh600880
2018-04-28,201801,0.00287,roeAvg,sh600880
2018-04-28,201801,0.055233,npMargin,sh600880
2018-04-28,201801,9311520.67,netProfit,sh600880
2018-04-28,201801,0.054489,epsTTM,sh600880
2018-04-28,201801,,MBRevenue,sh600880
2018-04-28,201801,1093332092.0,totalShare,sh600880
2018-04-28,201801,733365115.0,liqaShare,sh600880
2018-04-28,201801,0.00287,dupontROE,sh600880
2018-04-28,201801,1.150127,dupontAssetStoEquity,sh600880
2018-04-28,201801,0.042092,dupontAssetTurn,sh600880
2018-04-28,201801,1.123912,dupontPnitoni,sh600880
2018-04-28,201801,0.052744,dupontNitogr,sh600880
2018-04-28,201801,0.825156,dupontTaxBurden,sh600880
2018-04-28,201801,0.042092,AssetTurnRatio,sh600880
2019-04-26,201901,-0.188574,YOYLiability,sh600880
2019-04-26,201901,0.092148,liabilityToAsset,sh600880
2019-04-26,201901,1.101501,assetToEquity,sh600880
2019-04-26,201901,0.244365,CFOToOR,sh600880
2019-04-26,201901,0.779378,CFOToNP,sh600880
2019-04-26,201901,0.218326,CFOToGr,sh600880
2019-04-26,201901,-0.230032,YOYEquity,sh600880
2019-04-26,201901,1.946857,YOYNI,sh600880
2019-04-26,201901,1.0,YOYEPSBasic,sh600880
2019-04-26,201901,1.484469,YOYPNI,sh600880
2019-04-26,201901,0.00929,roeAvg,sh600880
2019-04-26,201901,0.313538,npMargin,sh600880
2019-04-26,201901,27439720.68,netProfit,sh600880
2019-04-26,201901,-0.755256,epsTTM,sh600880
2019-04-26,201901,,MBRevenue,sh600880
2019-04-26,201901,1093332092.0,totalShare,sh600880
2019-04-26,201901,1093030175.0,liqaShare,sh600880
2019-04-26,201901,0.00929,dupontROE,sh600880
2019-04-26,201901,1.145232,dupontAssetStoEquity,sh600880
2019-04-26,201901,0.030559,dupontAssetTurn,sh600880
2019-04-26,201901,0.94756,dupontPnitoni,sh600880
2019-04-26,201901,0.280128,dupontNitogr,sh600880
2019-04-26,201901,1.053522,dupontTaxBurden,sh600880
2019-04-26,201901,0.030559,AssetTurnRatio,sh600880
2020-04-30,202001,-0.157272,YOYLiability,sh600880
2020-04-30,202001,0.077193,liabilityToAsset,sh600880
2020-04-30,202001,1.08365,assetToEquity,sh600880
2020-04-30,202001,-0.506841,CFOToOR,sh600880
2020-04-30,202001,-3.928445,CFOToNP,sh600880
2020-04-30,202001,-0.44309,CFOToGr,sh600880
2020-04-30,202001,0.022428,YOYEquity,sh600880
2020-04-30,202001,-0.598577,YOYNI,sh600880
2020-04-30,202001,-0.5,YOYEPSBasic,sh600880
2020-04-30,202001,-0.614685,YOYPNI,sh600880
2020-04-30,202001,0.003491,roeAvg,sh600880
2020-04-30,202001,0.129018,npMargin,sh600880
2020-04-30,202001,11014929.19,netProfit,sh600880
2020-04-30,202001,0.045789,epsTTM,sh600880
2020-04-30,202001,,MBRevenue,sh600880
2020-04-30,202001,1093332092.0,totalShare,sh600880
2020-04-30,202001,1093030175.0,liqaShare,sh600880
2020-04-30,202001,0.003491,dupontROE,sh600880
2020-04-30,202001,1.124768,dupontAssetStoEquity,sh600880
2020-04-30,202001,0.030253,dupontAssetTurn,sh600880
2020-04-30,202001,0.909537,dupontPnitoni,sh600880
2020-04-30,202001,0.11279,dupontNitogr,sh600880
2020-04-30,202001,0.647848,dupontTaxBurden,sh600880
2020-04-30,202001,0.030253,AssetTurnRatio,sh600880
2021-04-29,202101,0.755973,YOYLiability,sh600880
2021-04-29,202101,0.124295,liabilityToAsset,sh600880
2021-04-29,202101,1.141938,assetToEquity,sh600880
2021-04-29,202101,-0.189722,CFOToOR,sh600880
2021-04-29,202101,-1.405888,CFOToNP,sh600880
2021-04-29,202101,-0.172891,CFOToGr,sh600880
2021-04-29,202101,0.024255,YOYEquity,sh600880
2021-04-29,202101,0.511721,YOYNI,sh600880
2021-04-29,202101,0.0,YOYEPSBasic,sh600880
2021-04-29,202101,0.549997,YOYPNI,sh600880
2021-04-29,202101,0.005287,roeAvg,sh600880
2021-04-29,202101,0.134948,npMargin,sh600880
2021-04-29,202101,16651497.85,netProfit,sh600880
2021-04-29,202101,0.08339,epsTTM,sh600880
2021-04-29,202101,,MBRevenue,sh600880
2021-04-29,202101,1093332092.0,totalShare,sh600880
2021-04-29,202101,1093030175.0,liqaShare,sh600880
2021-04-29,202101,0.005287,dupontROE,sh600880
2021-04-29,202101,1.201414,dupontAssetStoEquity,sh600880
2021-04-29,202101,0.038375,dupontAssetTurn,sh600880
2021-04-29,202101,0.932566,dupontPnitoni,sh600880
2021-04-29,202101,0.122976,dupontNitogr,sh600880
2021-04-29,202101,0.695776,dupontTaxBurden,sh600880
2021-04-29,202101,0.038375,AssetTurnRatio,sh600880
2022-04-29,202201,0.325306,YOYLiability,sh600880
2022-04-29,202201,0.152966,liabilityToAsset,sh600880
2022-04-29,202201,1.18059,assetToEquity,sh600880
2022-04-29,202201,-0.136698,CFOToOR,sh600880
2022-04-29,202201,-1.43418,CFOToNP,sh600880
2022-04-29,202201,-0.123043,CFOToGr,sh600880
2022-04-29,202201,0.022014,YOYEquity,sh600880
2022-04-29,202201,-0.354832,YOYNI,sh600880
2022-04-29,202201,0.0,YOYEPSBasic,sh600880
2022-04-29,202201,-0.346784,YOYPNI,sh600880
2022-04-29,202201,0.003338,roeAvg,sh600880
2022-04-29,202201,0.095315,npMargin,sh600880
2022-04-29,202201,10413500.61,netProfit,sh600880
2022-04-29,202201,0.066915,epsTTM,sh600880
2022-04-29,202201,,MBRevenue,sh600880
2022-04-29,202201,1093332092.0,totalShare,sh600880
2022-04-29,202201,1093030175.0,liqaShare,sh600880
2022-04-29,202201,0.003338,dupontROE,sh600880
2022-04-29,202201,1.259741,dupontAssetStoEquity,sh600880
2022-04-29,202201,0.032181,dupontAssetTurn,sh600880
2022-04-29,202201,0.959659,dupontPnitoni,sh600880
2022-04-29,202201,0.085793,dupontNitogr,sh600880
2022-04-29,202201,0.690549,dupontTaxBurden,sh600880
2022-04-29,202201,0.032181,AssetTurnRatio,sh600880
2014-07-22,201402,0.414778,YOYLiability,sh600880
2014-07-22,201402,0.179199,liabilityToAsset,sh600880
2014-07-22,201402,1.218322,assetToEquity,sh600880
2014-07-22,201402,0.414059,CFOToOR,sh600880
2014-07-22,201402,1.750676,CFOToNP,sh600880
2014-07-22,201402,0.392964,CFOToGr,sh600880
2014-07-22,201402,0.527288,YOYEquity,sh600880
2014-07-22,201402,-0.097819,YOYNI,sh600880
2014-07-22,201402,-0.222222,YOYEPSBasic,sh600880
2014-07-22,201402,-0.127893,YOYPNI,sh600880
2014-07-22,201402,0.044975,roeAvg,sh600880
2014-07-22,201402,0.236514,npMargin,sh600880
2014-07-22,201402,179662448.05,netProfit,sh600880
2014-07-22,201402,0.288133,epsTTM,sh600880
2014-07-22,201402,743068438.55,MBRevenue,sh600880
2014-07-22,201402,1093332092.0,totalShare,sh600880
2014-07-22,201402,662513941.0,liqaShare,sh600880
2014-07-22,201402,0.044975,dupontROE,sh600880
2014-07-22,201402,1.397144,dupontAssetStoEquity,sh600880
2014-07-22,201402,0.164127,dupontAssetTurn,sh600880
2014-07-22,201402,0.87377,dupontPnitoni,sh600880
2014-07-22,201402,0.224464,dupontNitogr,sh600880
2014-07-22,201402,0.777406,dupontTaxBurden,sh600880
2014-07-22,201402,0.164127,AssetTurnRatio,sh600880
2015-08-11,201502,-0.187637,YOYLiability,sh600880
2015-08-11,201502,0.148381,liabilityToAsset,sh600880
2015-08-11,201502,1.174234,assetToEquity,sh600880
2015-08-11,201502,0.135908,CFOToOR,sh600880
2015-08-11,201502,1.01026,CFOToNP,sh600880
2015-08-11,201502,0.132587,CFOToGr,sh600880
2015-08-11,201502,0.024631,YOYEquity,sh600880
2015-08-11,201502,-0.520671,YOYNI,sh600880
2015-08-11,201502,-0.5,YOYEPSBasic,sh600880
2015-08-11,201502,-0.542285,YOYPNI,sh600880
2015-08-11,201502,0.019928,roeAvg,sh600880
2015-08-11,201502,0.134528,npMargin,sh600880
2015-08-11,201502,86117495.79,netProfit,sh600880
2015-08-11,201502,0.179101,epsTTM,sh600880
2015-08-11,201502,627491781.38,MBRevenue,sh600880
2015-08-11,201502,1093332092.0,totalShare,sh600880
2015-08-11,201502,733365115.0,liqaShare,sh600880
2015-08-11,201502,0.019928,dupontROE,sh600880
2015-08-11,201502,1.340393,dupontAssetStoEquity,sh600880
2015-08-11,201502,0.135767,dupontAssetTurn,sh600880
2015-08-11,201502,0.83437,dupontPnitoni,sh600880
2015-08-11,201502,0.131241,dupontNitogr,sh600880
2015-08-11,201502,0.830922,dupontTaxBurden,sh600880
2015-08-11,201502,0.135767,AssetTurnRatio,sh600880
2016-07-29,201602,-0.148774,YOYLiability,sh600880
