code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare,code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio,code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI,code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity,code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sz000001,2015-08-14,2015-06-30,0.082213,0.248739,,11585000000.000000,1.489656,46575000000.000000,14308676139.00,11804054579.00,sz000001,2015-08-14,2015-06-30,,,,,,0.019582,sz000001,2015-08-14,2015-06-30,0.247561,0.203154,0.150218,0.150685,0.150218,sz000001,2015-08-14,2015-06-30,,,,0.200489,0.941303,17.036771,sz000001,2015-08-14,2015-06-30,,,,,3.918884,15.755028,3.918884,sz000001,2015-08-14,2015-06-30,0.082213,16.878912,0.019582,1.000000,0.248739,0.759224,,
sz000001,2016-08-12,2016-06-30,0.069604,0.224434,,12292000000.000000,1.314587,54769000000.000000,17170411366.00,14631180387.00,sz000001,2016-08-12,2016-06-30,,,,,,0.020636,sz000001,2016-08-12,2016-06-30,0.270546,0.089661,0.061027,0.028571,0.061027,sz000001,2016-08-12,2016-06-30,,,,0.078382,0.931560,14.611283,sz000001,2016-08-12,2016-06-30,,,,,-0.606146,-2.700781,-0.606146,sz000001,2016-08-12,2016-06-30,0.069604,15.028686,0.020636,1.000000,0.224434,0.760926,,
sz000001,2017-08-11,2017-06-30,0.060702,0.232168,,12554000000.000000,1.331418,54073000000.000000,17170411366.00,16917989651.00,sz000001,2017-08-11,2017-06-30,,,,,,0.017888,sz000001,2017-08-11,2017-06-30,0.103046,0.103949,0.021315,-0.055556,0.021315,sz000001,2017-08-11,2017-06-30,,,,0.104015,0.931616,14.623237,sz000001,2017-08-11,2017-06-30,,,,,-2.370499,-10.210292,-2.370499,sz000001,2017-08-11,2017-06-30,0.060702,14.616080,0.017888,1.000000,0.232168,0.763997,,
sz000001,2018-08-16,2018-06-30,0.059405,0.233609,,13372000000.000000,1.398161,57241000000.000000,17170411366.00,17170246773.00,sz000001,2018-08-16,2018-06-30,,,,,,0.017304,sz000001,2018-08-16,2018-06-30,0.078916,0.089018,0.065159,0.073529,0.065159,sz000001,2018-08-16,2018-06-30,,,,0.089760,0.932250,14.760166,sz000001,2018-08-16,2018-06-30,,,,,0.130239,0.557508,0.130239,sz000001,2018-08-16,2018-06-30,0.059405,14.695572,0.017304,1.000000,0.233609,0.769966,,
sz000001,2019-08-08,2019-06-30,0.062028,0.227086,,15403000000.000000,1.563678,67829000000.000000,17170411366.00,17170245848.00,sz000001,2019-08-08,2019-06-30,,,,,,,sz000001,2019-08-08,2019-06-30,0.124756,0.066332,0.151885,0.164384,0.151885,sz000001,2019-08-08,2019-06-30,,,,0.062086,0.928538,13.993469,sz000001,2019-08-08,2019-06-30,,,,,0.389686,1.716029,0.389686,sz000001,2019-08-08,2019-06-30,0.062028,14.113417,,1.000000,0.227086,0.770034,,
sz000001,2020-08-28,2020-06-30,0.041175,0.174625,,13678000000.000000,1.364017,78328000000.000000,19405918198.00,19405752680.00,sz000001,2020-08-28,2020-06-30,,,,,,,sz000001,2020-08-28,2020-06-30,0.369419,0.163713,-0.111991,-0.223529,-0.111991,sz000001,2020-08-28,2020-06-30,,,,0.147882,0.915906,11.891456,sz000001,2020-08-28,2020-06-30,,,,,-0.327673,-1.876444,-0.327673,sz000001,2020-08-28,2020-06-30,0.041175,12.218447,,1.000000,0.174625,0.777734,,
sz000001,2021-08-20,2021-06-30,0.047437,0.207641,,17583000000.000000,1.691907,84680000000.000000,19405918198.00,19405754475.00,sz000001,2021-08-20,2021-06-30,,,,,,0.018425,sz000001,2021-08-20,2021-06-30,0.073410,0.130401,0.285495,0.212121,0.285495,sz000001,2021-08-20,2021-06-30,,,,0.135634,0.920146,12.522820,sz000001,2021-08-20,2021-06-30,,,,,-1.369532,-6.595689,-1.369532,sz000001,2021-08-20,2021-06-30,0.047437,12.399483,0.018425,1.000000,0.207641,0.787028,,
sz000001,2022-08-18,2022-06-30,0.054704,0.240030,,22088000000.000000,2.104564,92022000000.000000,19405918198.00,19405546950.00,sz000001,2022-08-18,2022-06-30,,,,,,0.018349,sz000001,2022-08-18,2022-06-30,0.092539,0.081561,0.256213,0.287500,0.256213,sz000001,2022-08-18,2022-06-30,,,,0.080609,0.919335,12.396993,sz000001,2022-08-18,2022-06-30,,,,,1.635294,6.812885,1.635294,sz000001,2022-08-18,2022-06-30,0.054704,12.420538,0.018349,1.000000,0.240030,0.795019,,
sz000001,2014-10-24,2014-09-30,0.131431,0.287168,,15694000000.000000,1.683079,,11424894787.00,9836712150.00,sz000001,2014-10-24,2014-09-30,,,,,,0.027081,sz000001,2014-10-24,2014-09-30,0.335286,0.155603,0.341826,0.151261,0.341826,sz000001,2014-10-24,2014-09-30,,,,0.145916,0.940898,16.919881,sz000001,2014-10-24,2014-09-30,,,,,-0.093484,-0.325538,-0.093484,sz000001,2014-10-24,2014-09-30,0.131431,16.900384,0.027081,1.000000,0.287168,0.756410,,
sz000001,2015-10-23,2015-09-30,0.123158,0.249325,,17740000000.000000,1.526906,,14308676139.00,11804054579.00,sz000001,2015-10-23,2015-09-30,,,,,,0.029736,sz000001,2015-10-23,2015-09-30,0.239869,0.212046,0.130368,0.114035,0.130368,sz000001,2015-10-23,2015-09-30,,,,0.210298,0.939541,16.540194,sz000001,2015-10-23,2015-09-30,,,,,1.292796,5.185175,1.292796,sz000001,2015-10-23,2015-09-30,0.123158,16.611483,0.029736,1.000000,0.249325,0.761831,,
